Level 1 Term,Level 2,FDA Code,Definition
,Unintended Application Program Shut Down,4032,Problem associated with an unintended shut down by malfunction of the application program.
,Program or Algorithm Execution Problem,4033,Problem associated with execution problems relating to program or algorithm.
,Delayed Program or Algorithm Execution,4034,Problem associated with delayed execution relating to program or algorithm.
,Intermittent Program or Algorithm Execution,4035,Problem associated with intermittent execution relating to program or algorithm.
,Program or Algorithm Execution Failure,4036,Problem associated with the failure of a program or algorithm to execute. Sudden/unexpected interruption to a program's execution.
,Computer Operating System Problem,2898,"Problem associated with software, firmware, and/or hardware elements that control the execution of computer programs and provides such services as computer resource allocation, job control, input/output control, and file management in a computer system."
,Operating System Becomes Nonfunctional,2996,Problem associated with malfunction of the computer operating system as opposed to an application software problem.
,Operating System Version or Upgrade Problem,2997,Problem associated with replacing an older operating system to an up-to-date operating system.
,Computer System Security Problem,2899,"Problem associated with unauthorized access to or modification of a software system resulting in a loss of confidentiality, integrity, or availability of written program code, application software, or data or entire device."
,Application Security Problem,2882,"Problem associated with the acquisition of computer programming codes that can replicate and spread from one computer system to another thereby leading to damaged software, hardware and data."
,Unauthorized Access to Computer System,3025,"Problem associated with an access that was not permitted to the computer system that may lead to modification of program, corruption of data, or and break in network security. This concept is closely associated with computer integrity which is the degree to which a system or component prevents unauthorized access to, or modification of, computer programs or data."
,Data Back-Up Problem,2902,"Problems relating to a system, component, file, procedure, or person available to replace or help restore a primary item in the event of a failure or externally caused disaster."
,Failure to Back-Up,1047,Problem associated with the inability to backup or to retrieve a backed up version (corrupted file) of device data or system files.
,Failure to Convert to Back-Up,1048,"Problem associated with a failure to transition from a primary system, component, file, procedure to a backup in response to a failure in the primary item."
,Data Problem,3196,"Event in which data (charting, orders, results) is not correctly stored, transferred, updated, or displayed."
,Loss of Data,2903,"Event in which data is unintentionally permanently or temporarily lost, deleted, corrupted, or overwritten."
,Patient Data Problem,3197,Event in which data is accessed by the healthcare provider and either the wrong patient or the wrong data is retrieved despite correct inquiry procedures.
,Date/Time-Related Software Problem,2582,Problem associated with programming of calendar dates and/or time as a factor in the operation of the device.
Connection Problem,,2900,"Problem associated with linking of the device and/or the functional units set up to provide means for a transfer of liquid, gas, electricity or data."
,Blocked Connection,2888,"Problem associated with linking of the device whereby their functional units set up to provide means for a transfer of fluid, gas, or data is prevented or impeded."
,Decoupling,1145,"Problem associated with the device being unassociated in such a way that fluid, gas, power or signal information may not be transferred from one to another."
,Disconnection,1171,"Problem associated with the linking of the device having a sufficient open space to prevent gas, liquid or electrical current flow between connectors."
,Failure to Disconnect,2541,"Problem associated with the linking of the device whereby termination of the transfer of liquid, gas, electricity, or information cannot be accomplished, or linking components do not come apart, or disconnect, when expected."
,Loose or Intermittent Connection,1371,Problem associated with the connection of the device being loose or intermittent.
,Misconnection,1399,"Problem associated with the connection of the device being improper or not in accordance with device specification, requirements or intended uses."
,Incomplete or Inadequate Connection,4037,"Problem associated with a partial linking of the device whereby device may appear to be connected however only a partial, intermittent or no transfer of liquid, gas, electricity, or information can be accomplished."
,Fitting Problem,2183,"Problem associated with the connection of the device whereby channels, switching systems, and other functional units set up to provide means for a transfer of liquid, gas, electricity, or information do not match or fit."
Communication or Transmission Problem,,2896,Problem associated with the device sending or receiving signals or data. This includes transmission among internal components of the device to which the device is intended to communicate.
,Failure to Read Input Signal,1581,Problem associated with a failure of the device to read a signal for interpretation or measurement.
,Failure to Transmit Record,1521,Problem associated with a failure of the device to transmit a record for interpretation or measurement.
,Intermittent Communication Failure,4038,Inconsistent or lack of intended communication of data among internal components or with other external devices.
,Telemetry Discrepancy,1629,Problem associated with variability of the transmission of telemetry signals.
,Wireless Communication Problem,3283,"Problems with the RF wireless technology characteristics and performance (e.g., frequency, output power, range, reception), wireless quality of service, wireless coexistence, security of wireless signals and data, and electromagnetic compatibility."
Infusion or Flow Problem,,2964,"Problem associated with the device failing to deliver or draw liquids or gases as intended (e.g. delivering drugs at incorrect rate, problems with drawing fluid from a system). This includes vacuum collection devices and manual or mechanical pumps."
,Deflation Problem,1149,Problem associated with the deflation of the device including unintended deflation or inadequate deflation.
,Failure to Deflate,4060,Problem associated with the inability to deflate a device which is intended to deflate.
,Unintended Deflation,4061,Problem associated with the unintended deflation of a device which was not designed to deflate or not at that point in time or not to that extent.
,Excess Flow or Over-Infusion,1311,"Problem associated with a delivery overdose of therapeutic agents, such as drugs or fluids being delivered into a device or a patient."
,Filling Problem,1233,Problem associated with the method or amount of time associated with the delivery of a fluid. Time to delivery or amount of delivered entity may be affected.
,Inability to Auto-Fill,1044,"Complete failure to fill as part of an automated process. For insufficient filling use ""Short Fill"". For excessive filling use ""Overfill"". For inconsistent filling use ""Volume Accuracy Problem""."
,Overfill,2404,"Excessive filling of a device. For complete failure to fill use ""inability to auto-fill"". For insufficient filling use ""Short Fill"". For inconsistent filling use ""Volume Accuracy Problem""."
,Short Fill,1575,"Insufficient filling of a device. For complete failure to fill use ""inability to auto-fill"". For insufficient filling use ""short fill"". For inconsistent filling use ""Volume Accuracy Problem""."
,Volume Accuracy Problem,1675,"Inconsistent filling of a device. This describes a problem which is observed to vary between overfilling and under filling, and may be intermittent. Use ""Overfill"" or ""Short Fill"" if problem is consistent."
,Filtration Problem,2941,"Problem associated with the process of passing a substance through a porous medium, e.g., a blood clot filter for the removal of suspended matter."
,Inadequate Filtration Process,2308,Problem associated with the filter failing to remove items or substances which should have been removed.
,Inadequate Ultra Filtration,1656,Problem associated with the transfer of fluid between the blood and dialysate through the dialysis membrane due to a pressure gradient (trans-membrane pressure) existing between the blood and dialysate compartments.
,Improper Flow or Infusion,2954,"Problem associated with the regulation and delivery of therapeutic agents (e.g. air, gas, drugs or fluids into a device or a patient under positive pressure)."
,Backflow,1064,"Continuous flow of fluid (e.g. liquid, gas) against the intended flow direction."
,Free or Unrestricted Flow,2945,"Problem associated with uncontrolled flow of infusion of air, gas or fluids."
,Gradient Increase,1270,"Problem associated with the increased rate of change in temperature, pressure, or other variables as a function of distance, time, etc."
,Inaccurate Delivery,2339,Delivery at endpoint not as intended; either too low or too high.
,Inaccurate Flow Rate,1249,"Problem associated with fluctuations in the flow volume delivered per time, even if end volume is correct, and delivered in the correct total time."
,Intermittent Infusion,2341,Problem associated with the infusion not being stead- characterised by intermittent stoppages to the flow.
,Reflux within Device,1522,"Problem associated with partial backflow, compromising the device's flow output."
,Restricted Flow rate,1248,Problem associated with flow rate. Flow volume delivered over time is not reaching intended flow rate.
,Tidal Volume Fluctuations,1634,Problem associated with the amount of gas that is inspired and expired during one respiratory cycle.
,Inflation Problem,1310,Problem associated with the inability of the device to expand or enlarge with the intended inflation agent (e.g. saline or air).
,Insufficient Flow or Under Infusion,2182,"Problem associated with an insufficient dose of therapeutic agents, e.g., drugs or fluids being delivered into a patient under positive pressure."
,No Flow,2991,Problem arising from the device failing to deliver the specified liquid or gas.
,Failure to Deliver,2338,Failure (=complete nonperformance) with regard to the intended function of delivery.
,Failure to Infuse,2340,Failure (=complete nonperformance) with regard to the intended function of infusion.
,Inability to Irrigate,1337,Failure (=complete nonperformance) with regard to the intended function of irrigation.
,Obstruction of Flow,2423,"Problem related to an obstruction or blockage within the device component (e.g. tube, opening, pipe) that results in restriction of flow (including blood clotting)."
,Complete Blockage,1094,"Problem related to an obstruction or blockage within the device component (e.g. tube, opening, pipe) that results in no flow."
,Partial Blockage,1065,"Problem related to an obstruction or blockage within the device component (e.g. tube, opening, pipe) that results in a reduction of the flow rate."
,Difficult to Flush,1251,"The device is difficult to flush, possibly indicating an obstruction within device."
,Pressure Problem,3012,Problem associated with the application of a force either internal or external to device that compromises the flow of fluid or gas.
,Decrease in Pressure,1490,"Unintended decrease in pressure, compromising the device's intended function."
,Increase in Pressure,1491,"Unintended increase in pressure, compromising the device's intended function."
,No Pressure,2994,"Unintended complete loss of pressure, compromising the device's intended function."
,Pumping Problem,3016,Problem associated with pump performance deviating from specifications in a way to compromise flow or infusion or dispensing.
,Decreased Pump Speed,1500,"Unintended decrease in pump speed and hence, probably, flow rate, compromising the intended function of the device."
,Increased Pump Speed,1501,"Unintended increase in pump speed and hence, probably, flow rate, compromising the intended function of the device."
,Failure to Pump,1502,Problem associated with the device which fails to start pumping.
,Pumping Stopped,1503,Unexpected/unintended cessation of pump.
,Suction Problem,2170,"Problem associated with suction equipment, which may be a manual, electrical, vacuum or pressure source operated to evacuate and remove undesired substances (air, gas, fluid, or particulates) via tubing and collection bag."
,Decrease in Suction,1146,Problem associated with the removal of fluid or gas from a body cavity or device due to decreased suction.
,Increase in Suction,1604,Problem associated with the removal of fluid or gas from a body cavity or device due to increased suction.
,Suction Failure,4039,Problem associated with the complete inability to provide suction.
,Priming Problem,4040,Problem associated with the preparation of the device to begin pumping.
,Failure to Prime,1492,Problem associated with the device failing to begin the priming process (i.e. the process of preparation of device for the delivery of fluids).
,Incomplete or Inadequate Priming,4041,Problem associated with not adequately preparing the device.
,Air/Gas in Device,4062,Problem associated with air in the device (e.g. air in line).
"Activation, Positioning or Separation Problem",,2906,"Problem associated with any deviations from the documented specifications of the device that relate to the sequence of events for activation, positioning or separation of device. Note: Deployment is synonymous with activation."
,Activation Problem,4042,Problem associated with the activation of the device. Note: Activation includes expansion.
,Activation Failure,3270,Problem associated with the device failing to be activated including partial activation.
,Difficult or Delayed Activation,2577,Problem associated with delayed or difficult activation of the device.
,Premature Activation,1484,Problem associated with early and unexpected activation of the device.
,Self-Activation or Keying,1557,"Problem associated with the unintended activation of the device, or the device having been unexpectedly turned on during use."
,Key or Button Unresponsive/not Working,4063,Problem associated with a device not responding to key or button inputs.
,Positioning Problem,3009,Problem associated with the movement of the device to an intended location.
,Positioning Failure,1158,Problem associated with the inability of the device to be positioned in a specified location.
,Malposition of Device,2616,Problem associated with the device being positioned in a location other than intended or specified.
,Difficult or Delayed Positioning,1157,Problem associated with users experiencing difficulty or delay to position the device to a specified location.
,Failure to Advance,2524,Problem associated with failure to move the device to an intended location.
,Difficult to Advance,2920,Problem associated with difficulty moving the device to an intended location (e.g. difficulty in advancing guide wire).
,Difficult to Insert,1316,"Problem associated with problems introducing or inserting the device, even if the user is operating the device in accordance with the instructions for use or labeling."
,Difficult to Remove,1528,"Problem associated with the user experiencing difficulty when taking out the device, even if the user is operating device in accordance with the instructions for use or labeling."
,Entrapment of Device,1212,"Problem associated with the device caught within patient vasculature, tissue, or other device."
,Separation Problem,4043,Problem associated with the detachment or separation of the device.
,Separation Failure,2547,Problem associated with the device or one of its components failing to detach or separate as intended.
,Difficult or Delayed Separation,4044,Problem associated with users experiencing difficulty or delay with detachment or separation of the device.
,Premature Separation,4045,Problem associated with an early and unexpected detachment or separation of the device from the system.
Protective Measures Problem,,3015,Problem associated with any deviations from the documented specifications of the device that relate to the implemented and inherited design features specific to devices used for reducing risks to patient or caregiver or maintaining risks within specified levels.
,Device Alarm System,1012,Problem associated with the alarm system of the device.
,Alarm Not Visible,1022,The device does not display an alarm message when required.
,No Audible Alarm,1019,The device fails to emit an audible alarm.
,Low Audible Alarm,1016,The audible device alarm cannot be heard clearly.
,Delayed Alarm,1011,The device alarm system operates with delay.
,False Alarm,1013,Problem associated with the device providing incorrect alarm warning or alert to user.
,Defective Alarm,1014,The device alarm does not operate as expected and/or in agreement with device's specifications.
,Fail-Safe Problem,2936,Problem associated with the feature that prevents the unsafe use of the device.
,Fail-Safe Did Not Operate,4046,"Problem associated with the device fail-safe mechanism, which did not function or function in a non effective way, compromising safe use of the device."
,No Fail-Safe Mechanism,2990,"The device does not have a fail-safe mechanism, although such mechanism would be required for its appropriate and/or safe functioning."
,Failure of Device to Self-Test,2937,Problem associated with the device failing to perform an internal self-diagnostic process to ensure normal operation during or prior to use.
,Failure to Auto Stop,2938,Problem associated with the inability of device to turn itself off when the device is not in an operable condition.
,Reset Problem,3019,"Problem associated with setting a variable, register, or other storage location back to a prescribed state."
,Failure to Reset,1532,"Problem associated with the device failing to set a variable, register, or other storage location back to a prescribed state."
,Failure to Zero,1683,"Problem associated with the device failing to set a variable, register, or other storage location back to zero."
,Inappropriate or Unexpected Reset,2959,"Problem associated with the device setting a variable, register, or other storage location to an inappropriate or unexpected state."
,Premature Indicator Activation,3011,Problems with the activation of a protective measure indicator earlier than expected.
,Premature Elective Replacement Indicator,1483,Problems with the early or unexpected activation of the elective replacement indicator.
,Premature End-of-Life Indicator,1480,Problem with the early or unexpected activation of the end-of-life indicator.
,Shielding Failure,1568,"Problem associated with the device inability to act as a barrier for absorption of radiation energy in X-rays, gamma rays, etc."
Compatibility Problem,,2960,"Problem associated with compatibility between device, patients or substances (medication, body fluid, etc.)"
,Component or Accessory Incompatibility,2897,Problem associated with the incompatibility of any device while being operated in the same use environment thereby leading to a dysfunction between the devices.
,Accessory Incompatible,1004,"An accessory required for the intended purpose of the device appears incompatible with device, thus compromising the intended function of the device."
,Component Incompatible,1108,"A component required for the proper functioning of the device is not compatible with other components or subassemblies of the device, thus compromising the intended function of the device."
,Device-Device Incompatibility,2919,Problem associated with the incompatibility of two or more devices while being operated in the same use environment thereby leading to a dysfunction of more than one device.
,Measurement System Incompatibility,2982,"Problem associated with the incompatibility of the measurement systems between and/or within device systems that are inherent to the individual device thereby leading to miscalculated or mismatched measurements from those devices, e.g., international metric system versus U.S. measurement system."
,Unintended Compatibility,4047,Problem associated with the ability of two or more devices which are intended to be incompatible but are able to work or fit together.
Contamination /Decontamination Problem,,2895,"Problem associated with the presence of any unexpected foreign substance found in the device, on its surface or in the package materials, which may affect performance or intended use of the device, or problem that compromise effective decontamination of the device."
,Contamination,1120,"Problem associated with the undesired introduction of impurities either chemical or microbiological in nature, or of foreign matter into or onto the device."
,Biofilm coating in Device,1062,Problem associated with the undesired introduction of a biofilm coating into or onto the device.
,Contamination of Device Ingredient or Reagent,2901,"Problem associated with the undesired introduction of impurities either chemical or microbiological in nature, or of foreign matter into or onto the device ingredient or reagent."
,Device Contamination with Body Fluid,2317,"Problem associated with the undesired presence of body fluid in/on the device, which are not part of the documented device specifications and requirements."
,Device Contamination with Chemical or Other Material,2944,Problem associated with contamination of the device with chemical substance or other non biologic material.
,Microbial Contamination of Device,2303,Problem associated with undesired microbial contamination of the device.
,Device Contaminated During Manufacture or Shipping,2969,"Problem associated with the presence of any unexpected foreign substance found on the surface or in the package materials, which may affect optimal performance for its intended use, and which occurred during manufacture or shipping."
,Device Reprocessing Problem,1091,"Problem associated with a failure during any step of reprocessing process (cleaning, disinfection, packaging, labeling, sterilization) of a used or opened from its original packaging, but unused, device."
,Failure to Clean Adequately,4048,"Problem associated with the failure of the device or operator to remove any visible soil, foreign material or organism deposits on the external surfaces, crevices, and joints of the device."
,Failure to Disinfect,1175,Failure to properly disinfect the device when reprocessing it.
,Flushing Problem,1252,Flushing process was not executed properly.
,Problem with Removal of Enzymatic Cleaner,1213,Enzymatic cleaner was not removed properly.
,Problem with Sterilization,1596,Device was not sterilized properly during reprocessing.
,Residue After Decontamination,2325,"Problem associated with the decontamination process not adequately removing unwanted visible soil, foreign material, or organism deposits."
,Device Contaminated at the User Facility,4064,"Problem associated with the presence of any unexpected foreign substance found on the surface or in the package materials, which may affect optimal performance for its intended use, and which occurred at the user facility."
Environmental Compatibility Problem,,2929,"Problem associated with the surrounding conditions in which the device is being used such as temperature, noise, lighting, ventilation, or other external factors such as power supply."
,Ambient Noise Problem,2877,Problem associated with any undesired acoustic energy or vibration that tends to interfere with the operation of the device.
,Ambient Temperature Problem,2878,Problem associated with compromised device performance at the ambient temperature or the storage at an inappropriate ambient temperature.
,Fumes or Vapors,2529,"Problem associated with the visibility, odor, or toxicity of an ambient vapor or gas."
,Fungus in Device Environment,2316,"Problem associated with the visibility of molds, mildews, yeasts, and/or mushrooms in the immediate environment in which the device is being used."
,Moisture or Humidity Problem,2986,Problem associated with an unsatisfactory humidity level in the storage or use environment which affects the device performance.
,Moisture Damage,1405,Problem associated with damage inflicted upon the device from water vapor or water in the immediate environment in which the device is being used.
,Ventilation Problem in Device Environment,3027,Problem associated with the circulation of fresh air in the immediate atmosphere in which the device is being used.
,Fogging,1253,Problem associated with the visibility of water vapor in the immediate atmosphere in which the device is being used.
,Device Unsafe to Use in Environment,2918,"Problem associated with environmental condition that results in the unsafe use of the device. (e.g. electromagnetic fields, noise, vibration, microbiological contamination etc.)"
,Environmental Particulates,2930,"Problem associated with fine solids or liquid particles such as dust, smoke, fume, and/or mist suspended in the immediate atmosphere in which the device is being used."
,Medical Gas Supply Problem,2985,"Problem associated with the facility-supplied medical gases such as medical air, oxygen, nitrous oxide, and nitrogen."
,Electrical Power Problem,2925,Problem associated with the quality of the facility-supplied power.
,Emergency Power Failure,1205,Problem associated with the failure of the facility's emergency power backup system(s) including generators and/or interruptible power systems (UPS).
,Loss of Power,1475,Problem associated with the failure of primary power supplied by the facility.
,Power Conditioning Problem,1474,"Problem associated with a momentary overpower/over voltage from the utility and electrical systems of user facilities; - Problem associated with inadequate power conditioning such as the presence of fluctuation, surges, spikes, dropouts, noise and other such undesirable transients."
Installation-Related Problem,,2965,"Problem associated with unsatisfactory installation, configuration, and/or setup of a specific device."
,Misassembled During Installation,4049,"Problem associated with the use of the device characterized by incorrect assembly of device components, parts or constituents."
"Labelling, Instructions for Use or Training Problem",,1318,"Problem associated with device markings/labelling, instructions for use, training and maintenance documentation or guidelines."
,Device Markings/Labelling Problem,2911,"Problem associated with the written, printed or graphic material accompanying or affixed to the device or any of its packaging. This includes verbal instructions relating to identification, technical description, and usage provided by the device manufacturers. Problems can include but are not limited to this material being unclear, missing, worn out, incorrect or inaccurate."
,Expiration Date Error,2528,Problem associated with errors in identification of expiration date.
,Illegible Information,4050,Problem associated with information unable to be read or deciphered.
,Inaccurate Information,4051,"Problem associated with imprecise, inexact information."
,Unclear Information,4052,"Problem associated with ambiguous, confused information."
,Missing Information,4053,"Absence of information e.g. labeling, instruction for use."
,Wrong Label,4073,Problem associated with an incorrect label being affixed to the device or packaging.
,Device label look-alike,4081,Problem associated with medical device label that  looks similar to another product leading to confusion. The other product may be another device or a different product such as a medicine or cleaning agent.  Use A020505 for Device packaging look-alike.
,Lack of Maintenance Documentation or Guidelines,2971,"Problem associated with user facility not receiving adequate service documentation, guidelines, or recommendations to perform preventative and corrective maintenance and performance assurance checks."
,Inadequate Instructions for Healthcare Professional,1319,"Problem associated with inaccuracies in any written, printed, or graphic matter that is affixed to the device or its packaging with any matter that accompanies the device including verbal instructions related to identification, technical description and use of device provided by the device manufacturers that is intended for healthcare professionals."
,Inadequate Instructions for Non-Healthcare Professional,2956,"Problem associated with users being unclear and not able to follow any written, printed, or graphic matter that is affixed to device or its packaging with any matter that accompanies the device including verbal instructions related to identification, technical description and use of the device provided by the device manufactures that vary from the standard of medical care in a given environment."
,Inadequate or Insufficient Training,1643,Problem associated with facility not providing satisfactory initial and/or periodic user training covering operation of the device.
Human-Device Interface Problem,,2949,Problem associated with an act or omission of an act that has a different result than that intended by the manufacturer or expected by the operator.
,Device Difficult to Setup or Prepare,1487,"Problem associated with the use of the device in terms of user experiencing difficulty in preparing device for use, even if the operation is being performed according to labeled instructions for use."
,Device Difficult to Program or Calibrate,1496,"The device is difficult to program, calibrate or set to desired state, even by appropriately trained user/operator."
,Device Difficult to Maintain,3134,"Problem associated with the user's ability to service the device according to the manufacturer specifications relating to the device routine maintenance, i.e., periodic inspection, failure detection, repair, and care of the device to sustain or restore acceptable operating conditions."
,Inadequate User Interface,2958,Problem associated with the means by which the operator and the equipment communicate or interact.
,Device Provides Uninformative Message,4082,"The device provides a message which is unhelpful or uninformative, such as an error code without further information about the meaning or appropriate action to take.
If the message does not make sense then use A2206 - Device Provides Unintelligible Message."
,Device Provides Unintelligible Message,4083,"The device provides an unintelligible or incomprehensible message such as an apparently random string of characters.
If the message makes sense but is not helpful then use A2205 - Device Provides Uninformative Message."
Use of Device Problem,,1670,"Problem associated with failure to process, service, or operate the device according to the manufacturer's recommendations or recognized best practices."
,Device Handling Problem,3265,"Handling of the device not in accordance with specification, prior to use on the patient."
,Use of Incorrect Control/Treatment Settings,1126,Problem associated with the use of the device in terms of inappropriate or incorrect control settings or incorrect treatment parameters for the device's specified operation and/or intended use.
,Improper or Incorrect Procedure or Method,2017,"Problem associated with the use of the device in terms of nonconforming to that device's intended use, specifications, procedure and process or service instructions and information provided by the device manufacturers."
,Off-Label Use,1494,Problem associated with the device which has been used for an unapproved indication or for an unapproved intended use.
,Misassembled,1398,Problem associated with incorrect assembly of the device or constituents after being put into use.
,Misassembly by Users,3133,Problem associated with incorrect assembly of the device or constituents by the users.
,Misassembly During Maintenance/Repair,4054,Problem associated with incorrect assembly of the device or constituents during maintenance or repair.
Adverse Event Without Identified Device or Use Problem,,2993,"An adverse event (e.g. patient harm) appears to have occurred, but there does not appear to have been a problem with the device or the way it was used."
No Apparent Adverse Event,,3189,"A report has been received but the description provided does not appear to relate to an adverse event. This code allows a report to be recorded for administration purposes, even if it doesn't meet the requirements for adverse event reporting."
,Prophylactic removal due to corrective action,4077,Prophylactic removal of a device due to corrective action without malfunction or problem of the specific device involved
Insufficient Information,,3190,An adverse event appears to have occurred but there is not yet enough information available to classify the device problem.
Appropriate Term/Code Not Available,,3191,The device problem is not adequately described by any other term. Note: this code must not be used unless there is no other feasible code. The preferred term should be documented when submitting an adverse event report. This information will be used to determine if a new term should be added to the code table.
